gene	TCGA.HV.A7OP.01	TCGA.2L.AAQM.01	TCGA.3A.A9IO.01	TCGA.3A.A9IL.01	TCGA.3A.A9IR.01	TCGA.3A.A9IJ.01	TCGA.3A.A9IN.01	TCGA.3A.A9IV.01	TCGA.3A.A9IS.01	TCGA.Q3.A5QY.01	TCGA.IB.7889.01	TCGA.IB.AAUM.01	TCGA.3A.A9I5.01	TCGA.F2.6880.01	TCGA.3A.A9I9.01	TCGA.2J.AABV.01	TCGA.IB.A6UG.01	TCGA.LB.A8F3.01	TCGA.FB.AAQ3.01	TCGA.FB.AAQ6.01	TCGA.HZ.7289.01	TCGA.US.A776.01	TCGA.FB.AAPP.01	TCGA.HZ.A49H.01	TCGA.IB.7887.01	TCGA.F2.A8YN.01	TCGA.3E.AAAZ.01	TCGA.HZ.A8P0.01	TCGA.HZ.A49I.01	TCGA.S4.A8RP.01	TCGA.RB.A7B8.01	TCGA.HZ.7924.01	TCGA.F2.6879.01	TCGA.IB.7644.01	TCGA.HZ.8638.01	TCGA.HV.A5A4.01	TCGA.FB.A78T.01	TCGA.H8.A6C1.01	TCGA.IB.A5SP.01	TCGA.US.A77G.01	TCGA.YY.A8LH.01	TCGA.HZ.A8P1.01	TCGA.IB.AAUU.01	TCGA.Q3.AA2A.01	TCGA.S4.A8RM.01	TCGA.2L.AAQA.01	TCGA.2L.AAQI.01	TCGA.2L.AAQJ.01	TCGA.HV.AA8X.01	TCGA.2J.AAB1.01	TCGA.2J.AABA.01	TCGA.FB.AAPQ.01	TCGA.FB.AAPU.01	TCGA.FB.AAPY.01	TCGA.US.A779.01	TCGA.FB.AAQ0.01	TCGA.IB.7649.01	TCGA.F2.A44H.01	TCGA.3A.A9I7.01	TCGA.IB.7647.01	TCGA.IB.7652.01	TCGA.IB.7888.01	TCGA.2J.AABF.01	TCGA.IB.7897.01	TCGA.HZ.8519.01	TCGA.HZ.7920.01	TCGA.IB.8126.01	TCGA.HZ.7918.01	TCGA.IB.AAUT.01	TCGA.HZ.8317.01	TCGA.2J.AAB9.01	TCGA.F2.7273.01	TCGA.IB.AAUR.01	TCGA.HZ.8002.01	TCGA.3A.A9IX.01	TCGA.HZ.A49G.01	TCGA.F2.7276.01	TCGA.HZ.8637.01	TCGA.IB.7891.01	TCGA.XD.AAUG.01	TCGA.2J.AAB8.01	TCGA.IB.A5ST.01	TCGA.HZ.A77P.01	TCGA.IB.7645.01	TCGA.FB.A4P5.01	TCGA.XN.A8T5.01	TCGA.IB.AAUP.01	TCGA.2J.AABT.01	TCGA.2J.AABP.01	TCGA.IB.7651.01	TCGA.HZ.7922.01	TCGA.IB.7886.01	TCGA.IB.7893.01	TCGA.HZ.8315.01	TCGA.H6.A45N.01	TCGA.US.A774.01	TCGA.HZ.A77Q.01	TCGA.FB.A7DR.01	TCGA.HZ.7925.01	TCGA.IB.AAUS.01	TCGA.FB.AAPS.01	TCGA.IB.7890.01	TCGA.IB.7646.01	TCGA.IB.A5SO.01	TCGA.HZ.8636.01	TCGA.IB.A7M4.01	TCGA.OE.A75W.01	TCGA.HV.A7OL.01	TCGA.2L.AAQL.01	TCGA.HZ.A9TJ.01	TCGA.2J.AABE.01	TCGA.2J.AAB4.01	TCGA.2J.AABH.01	TCGA.F2.A44G.01	TCGA.S4.A8RO.01	TCGA.3A.A9J0.01	TCGA.IB.A5SQ.01	TCGA.HZ.A4BK.01	TCGA.HZ.A77O.01	TCGA.FB.AAQ1.01	TCGA.IB.8127.01	TCGA.HZ.7919.01	TCGA.PZ.A5RE.01	TCGA.YB.A89D.01	TCGA.IB.7885.01	TCGA.HZ.8005.01	TCGA.H6.8124.01	TCGA.FB.A545.01	TCGA.HV.A5A3.01	TCGA.HV.A5A6.01	TCGA.HZ.A4BH.01	TCGA.M8.A5N4.01	TCGA.FB.A5VM.01	TCGA.IB.A5SS.01	TCGA.US.A77E.01	TCGA.IB.A6UF.01	TCGA.LB.A7SX.01	TCGA.IB.A7LX.01	TCGA.XN.A8T3.01	TCGA.YH.A8SY.01	TCGA.3A.A9IC.01	TCGA.F2.A7TX.01	TCGA.IB.AAUN.01	TCGA.IB.AAUO.01	TCGA.2L.AAQE.01	TCGA.3A.A9IB.01	TCGA.3A.A9IH.01	TCGA.3A.A9IU.01	TCGA.XD.AAUL.01	TCGA.2J.AAB6.01	TCGA.2J.AABI.01	TCGA.2J.AABO.01	TCGA.2J.AABU.01	TCGA.3A.A9IZ.01	TCGA.FB.AAPZ.01	TCGA.FB.AAQ2.01	TCGA.XD.AAUI.01	TCGA.IB.AAUQ.01
AADAC	31.665	4.7478	9.3107	12.3325	0	2.1279	64.0878	0	0	47.8655	4.5323	272.4014	261.7047	537.5882	214.1643	491.3386	407.4244	282.7411	466.3221	320.1878	53.3194	34.7869	22.257	298.1435	5158.2728	53.0466	126.7764	230.7235	332.2789	685.0185	1037.037	1917.207	265.6066	552.7607	1634.0345	97.2595	412.8173	69.5043	23.8594	347.7864	71.4364	1418.5629	65.1896	224.9459	464.4491	182.9881	185.5955	556.4356	526.9073	596.0976	55.7382	148.0777	297.3637	713.4345	430.2419	108.9428	543.9074	416.1074	1094.2519	15.6822	176.2523	100.7155	142.8192	10.4807	14.7636	10.9692	424.0457	1968.0982	37.6794	208.4873	126.4737	81.9694	59.9639	39.9287	160.8984	154.267	214.6685	138.3285	198.9922	144.5946	203.0552	180.865	67.4847	162.578	109.6786	2.9797	99.8788	58.8235	0.526	217.4857	84.3683	43.3219	5.6222	33.3207	99.7662	433.6842	18.8014	68.8633	242.8616	22.048	73.1034	62.5179	48.2234	211.1585	169.1864	2.5361	269.6127	233.5182	309.1915	105.9601	165.2536	32.4074	231.7073	236.2031	138.1752	18.4843	10.2931	241.08	303.9085	203.3475	184.4201	344.2129	153.7872	180.37	120.1645	16.8176	125.2223	18.1681	154.9537	4.818	60.9551	55.1407	34.4288	6.0727	99.5633	87.2125	8.3498	3.2145	55.3797	231.8925	22.2222	44.8549	261.9449	52.6308	113.0677	112.8691	17.8105	76.8893	155.9252	7.0175	260.8853	87.3397	342.7948	113.0112	85.4453	24.1973	79.2472	27.4235
AARS2	457.6098	664.6766	486.1865	398.1828	353.2122	315.9995	379.2956	364.7987	493.8301	547.2299	293.7742	466.6595	529.4118	384.1669	423.728	355.9055	434.7202	505.5584	241.7967	521.9624	346.5656	731.3621	573.695	380.1607	398.3498	320.2983	283.4705	394.2911	396.0886	440.9582	465.9438	570.0623	417.5353	356.7485	473.1457	540.5642	507.2826	456.8966	240.625	365.1164	493.4362	738.5808	285.8969	516.1283	403.6424	382.0591	361.4544	327.7228	456.8662	392.6732	418.9197	273.7194	515.0249	408.9924	295.2245	352.8799	295.3982	373.4452	415.0127	485.3555	349.8542	334.6175	540.0833	364.579	367.2235	343.1388	358.8538	402.0245	498.6782	348.1585	346.1951	374.9621	490.4328	474.8378	447.1383	468.2385	372.0596	437.3807	304.0592	400.6014	422.0917	455.1988	346.9785	343.4096	377.6938	427.8844	453.1373	422.403	507.6223	481.1187	304.8951	326.6093	318.9618	281.7039	431.021	435.76	264.9412	312.3612	331.0229	348.3439	426.731	291.0671	223.3198	389.7327	371.9269	419.9543	501.4896	286.5065	419.155	489.1291	390.3129	338.729	354.9216	345.4746	584.9702	496.958	303.8778	502.893	870.1746	431.0667	349.9087	250.7328	246.1419	322.1686	374.5876	609.7068	265.6814	488.2513	374.5128	353.3191	383.9645	376.1746	456.4424	282.3721	327.0699	366.6781	332.1303	400.315	526.3502	400.6192	403.9457	361.9173	504.1934	354.1512	283.5959	371.2506	225.3373	491.6476	308.5239	330.883	380.1996	321.3141	340.5349	320.4461	423.3888	371.3169	315.4978	505.051
ABCA12	1.0215	1.7804	0	0.5362	0	0	0.5774	0.5612	0	8.5094	27.1941	17.9211	126.6507	1.2274	37.9603	4.7244	11.2726	6.0914	43.5534	57.277	82.5928	12.2489	0	7.7584	199.0015	117.9385	18.6986	232.0533	14.8535	82.054	166.6667	12.2195	77.1496	5.8282	234.6987	63.9441	110.695	32.8664	4.5688	94.021	3.5277	23.9521	42.1815	21.6294	96.4657	15.6847	113.2035	17.3267	222.6064	3.4146	363.2378	179.4881	60.4489	60.6717	53.9062	1.1842	22.4643	209.1723	44.3787	87.0361	344.0233	1.6511	100.6468	19.8771	97.018	74.5906	10.9785	181.5951	15.5502	63.7186	70.7395	81.7033	18.936	19.2513	36.7534	57.9869	22.438	52.5136	48.8903	5.4054	160.7521	12.6693	67.4847	227.8586	12.3479	34.565	115.2786	3.1289	0.526	0.8146	223.5546	0.3767	117.6912	48.0878	21.0444	71.5789	14.6886	173.7544	300.5962	54.8751	4.8276	29.7216	94.9239	151.1042	235.9521	151.1539	10.9235	95.5022	38.8106	142.0438	133.1895	79.1246	29.1812	363.6865	53.4546	524.9538	122.5373	33.269	89.1243	121.9086	24.6066	34.0648	49.0635	28.777	151.3804	173.3506	107.098	62.8312	139.3804	87.2591	83.5133	2.8719	69.9009	20.1158	10.917	7.2276	164.6759	44.084	31.6456	115.6542	46.4198	13.1926	39.9101	80.1759	28.7303	64.4966	209.8538	62.3902	69.0229	163.7427	56.2409	258.8141	110.262	47.5836	104.9964	46.0679	68.846	173.4694
ABCC10	625.1277	505.0445	664.6838	564.0758	664.4375	444.74	569.2841	413.6383	571.104	713.7273	435.1051	660.2151	516.8067	490.9481	938.2436	474.0157	1209.3901	782.2335	428.0251	698.5915	482.4882	528.1725	477.8299	481.5738	676.535	770.9779	568.0628	686.8511	828.4968	957.1202	798.0884	627.182	749.7055	711.6564	557.0141	881.784	939.6588	986.5302	506.1248	681.8804	686.5836	1044.9102	569.2373	876.7123	640.3326	752.0611	575.2488	604.4554	564.0804	576.5854	567.4025	320.3863	683.7113	713.4345	529.9935	529.9119	304.2886	659.9553	644.1251	378.9859	721.7069	356.6318	845.2202	427.9003	527.5351	411.1886	439.1412	517.7914	656.1005	511.2782	554.1265	408.7824	691.6141	502.3173	541.0924	683.2604	459.4776	647.1342	504.7711	483.1081	639.2479	598.0778	498.8497	428.2744	602.8691	659.118	678.0317	623.2791	614.9395	612.8156	358.8865	383.1161	344.078	437.713	827.7475	745.2632	523.5018	563.6757	578.2868	686.4282	703.4483	443.2624	260.9137	702.4409	771.1265	602.0796	725.422	401.1091	538.8212	591.6584	908.2781	654.8822	766.115	592.7152	837.1197	780.037	676.4059	700.0964	1318.5974	326.7549	593.149	396.8946	439.922	664.4399	476.9657	885.7266	355.4831	805.4504	735.8352	673.9829	914.3269	854.6812	682.3161	498.3395	744.5415	448.5904	663.3422	816.0135	869.1983	761.6822	599.5062	534.3008	757.1669	544.9993	532.9008	540.9654	444.1003	607.645	868.1913	653.8012	450.2903	595.3526	427.9476	512.2677	585.0833	638.9018	558.6924	570.1531
ABHD2	881.5117	2997.6261	3551.0151	3328.6908	8300.3051	3535.0446	3024.8268	5724.7089	2751.9309	2936.2804	12888.3395	6990.681	3486.7947	7223.0746	9165.4391	4478.7402	7139.3201	3815.736	4446.2049	8471.3615	15672.2426	5401.7638	7402.5387	5945.1372	13684.1552	10078.3338	19050.4862	10404.4974	18828.7718	11589.73	9708.4827	20244.1397	9623.086	16460.4294	12214.4552	9469.1026	21786.1007	8650.3233	17636.6968	40210.8626	12693.1981	8646.1078	10760.5454	9041.0959	22343.8669	16575.9099	13594.1387	19590.099	11847.4173	21690.2439	9714.7331	18791.5066	28966.3044	7191.766	17966.3766	9039.8825	15556.8414	5842.2819	9417.5824	11546.2624	55388.5502	19842.5977	9289.2708	15695.6993	6666.5568	9671.0805	6904.1231	12294.4785	7646.5311	7283.293	10524.1158	11900.7319	4482.8674	9232.0856	8444.7167	6458.4245	9236.4367	5291.7067	11095.1002	7389.8649	8519.859	5497.5972	6815.9509	9896.0499	5133.1033	7593.5638	6180.1646	4895.4944	5565.4918	18792.2889	27059.5289	12362.1823	6724.5127	9652.0257	5752.9228	10483.3684	7707.4031	4260.4036	13515.2181	4358.6477	4306.2069	15875.9685	11718.2741	17746.6098	12445.3378	5173.7256	9146.9712	6634.6272	7340.3872	13432.3058	6270.3869	11362.7946	9630.2265	10985.6512	21495.822	18209.6646	9064.8198	11471.5526	10623.5106	4933.3	8417.7945	17990.5728	8621.1517	7820.6578	13088.1933	21050.4528	24092.9364	6035.5791	5839.183	4847.9657	9683.2253	6245.2613	2750.1304	9033.8742	14350.655	6964.4741	6174.1853	8035.6897	5612.8692	4609.229	6115.5556	9136.3237	13523.8898	5654.614	17448.1001	6681.044	12048.0108	7676.1863	15798.3368	3135.6725	7287.7358	11907.0513	11859.1703	30915.9851	9960.8979	11052.1173	7072.313	4913.2653
ABL2	624.1062	656.9733	585.5425	748.5265	670.6344	893.7359	1360.8545	611.1969	560.6542	1614.1299	831.8912	1030.8244	1006.0024	765.8791	700.8499	620.4724	1215.2948	759.3909	438.538	680.7512	395.7135	515.4336	403.4081	1507.8969	788.9989	697.3307	835.4525	698.8195	747.6276	902.594	1121.2664	648.3791	694.6408	640.7975	703.7799	771.6282	797.3367	834.0517	422.3629	508.4436	571.4916	939.521	688.5386	757.0296	979.6258	839.3324	618.9754	796.0396	408.0398	594.1463	1082.8245	753.85	909.7377	752.9794	408.0748	718.1934	1115.0442	975.3915	1132.7134	1013.8526	736.2841	1298.8442	1026.3135	2367.9075	1416.5148	1830.9175	1567.1852	996.319	939.5933	1127.5647	919.6141	1759.4145	2222.2723	1801.426	1475.0383	901.5317	2380.777	1108.2293	1152.7822	3590.5405	939.1304	1471.3849	919.862	2204.5738	874.5233	1998.8081	889.2292	854.1927	1462.3882	1126.5273	1461.242	1064.9649	1895.8021	1185.1571	1005.456	1069.4737	1601.0576	1128.7196	1584.5623	1753.0622	1555.8621	1747.94	1447.2081	916.3115	1528.9697	651.2808	610.2284	441.1583	515.5348	682.154	956.3743	608.5859	995.6446	870.8609	1430.6678	837.0742	989.6113	779.6528	840.3152	1162.628	1425.8888	733.1855	808.9287	817.0606	889.8213	1367.3997	881.911	1373.2021	643.1744	877.9443	1392.3686	980.471	1333.3333	1015.6561	735.3712	1376.6087	579.3807	1515.8473	1160.3376	1265.1869	1663.2099	718.5576	1062.9567	841.1091	557.924	1229.87	574.9685	1108.9631	723.4927	1528.655	1263.7881	1172.2756	1400.655	1710.0372	1166.546	1272.685	1142.6449	1411.9898
ABLIM3	170.5822	280.7122	122.5915	195.7107	37.181	1251.2302	773.0947	688.0876	149.9318	841.3685	1675.7314	683.871	2235.2941	227.0635	1734.2776	554.3307	398.2989	1422.8426	1275.0643	835.6808	238.3691	70.0637	559.9026	563.591	1569.2389	1648.5639	1967.4645	575.8113	2415.0736	974.5897	748.5066	615.7107	1185.2179	795.7055	677.8428	485.7603	871.4107	463.3621	2006.7314	2083.5235	928.6738	788.6228	599.0626	1135.5443	926.4033	2458.4758	1198.111	1819.802	2033.7152	1743.9024	1232.5035	1336.2889	893.2175	952.3294	1351.1811	1412.1116	653.5058	617.4497	926.4582	1048.6147	1802.5444	868.4645	785.3283	959.5229	413.6445	889.7595	359.5469	803.272	542.4641	1013.8907	1121.1147	657.6181	1102.3445	1185.0267	1083.8183	640.5908	906.564	253.2821	516.3504	664.8649	1056.6392	1060.7252	814.8006	957.5884	825.1317	1659.7139	1224.9451	946.8085	802.7354	1413.2501	609.8501	1391.5743	1143.1784	1995.8349	911.9252	646.7368	1527.027	1329.837	820.2071	729.5443	605.5172	2909.6462	1266.4975	565.2848	1427.2481	817.1443	1330.1887	1629.0819	1501.3252	600.2497	1648.2195	1191.0774	1529.1812	729.5806	1659.1107	1964.0877	801.394	1428.1581	1435.9536	3487.8841	1777.6339	1962.2911	1302.4495	1278.0062	1279.8523	3077.6197	2444.7184	2748.6752	1706.0475	738.758	1717.7826	2250.4308	1116.3276	2909.9535	805.6769	2386.5394	901.3104	2283.1847	2094.9367	821.8458	1422.716	1676.781	3471.0512	538.6049	2837.8128	1514.8645	2325.4283	1617.7504	1260.7069	1887.1345	644.4122	2688.3013	4898.4716	1810.4089	2524.2578	3473.2434	2240.2179	1365.4337
ACADM	124.617	630.2671	1184.5338	687.9366	2289.0389	692.6453	583.7182	1196.0152	940.0273	664.7981	573.9596	1174.9104	369.1477	1003.989	625.4958	588.9764	679.5774	527.9188	807.9913	542.723	616.8322	1972.0725	881.9336	1124.4112	918.2798	934.2377	734.8542	707.4633	885.7104	788.7771	679.8088	1703.7406	699.6466	824.5399	1389.8466	629.2316	351.6438	815.194	468.5588	879.9635	386.7269	439.521	623.775	593.367	535.1351	454.8562	650.5558	363.8614	789.2803	693.6585	774.6986	352.6941	610.1213	458.2882	546.115	346.9591	920.354	807.6063	1162.2992	746.4715	857.1429	1020.9136	730.0434	1067.2208	1028.443	937.7106	1641.2903	1008.998	904.9043	1244.8069	730.9753	827.678	633.4536	1061.3191	871.0567	900.9847	1006.0281	1245.5972	962.3673	808.1081	687.1915	702.4902	1019.9387	1157.1726	708.1896	760.4291	724.2312	962.4531	910.5734	565.3	821.8415	524.3832	940.03	921.9992	726.4224	686.3158	562.8672	557.7471	675.2432	642.3322	515.8621	652.8512	565.9898	522.6656	703.6616	454.9835	180.7349	340.727	500.6574	916.9845	630.8001	528.1987	429.4425	664.4592	488.1517	660.1532	765.1229	627.7724	531.4246	564.0769	546.0079	788.6398	411.8857	617.1634	694.8057	326.4338	840.7195	501.1355	407.24	715.2034	616.7507	346.9271	205.0078	354.8724	458.5153	438.4718	886.0026	383.4391	722.0464	386.6822	376.7901	864.9956	458.1225	308.4067	331.7887	438.1739	642.3386	454.3058	418.2952	405.848	243.8316	489.5833	414.8472	553.9033	539.4642	553.7459	584.943	578.4439
ACBD5	774.2594	449.8516	1375.4041	423.0569	883.3921	408.565	407.0439	704.3637	721.4902	422.8116	759.3737	751.9713	687.8752	637.0052	747.3088	275.5906	586.7125	858.3756	1236.7674	1152.1127	898.5886	1398.3341	782.4726	512.0532	1200.6657	1378.1809	1396.0359	787.2524	836.1986	908.9465	697.1326	1609.7257	1291.8139	1151.5337	2029.4164	953.7883	898.0441	891.7026	1278.7646	1389.3199	1094.0359	1422.7545	1452.9186	843.5472	1602.079	1180.7762	1144.6673	1600.9901	1384.9146	947.8049	562.3924	1093.0825	1019.3718	659.805	797.5092	875.0947	1030.6331	961.9687	1265.8495	1235.7554	1133.3157	733.0765	804.4653	928.8038	925.0978	838.6743	1004.5355	1484.6626	1031.6986	1057.2193	920.686	1013.4398	472.4977	1051.6934	855.9469	850.1094	975.5526	2421.3897	1119.7598	467.5676	869.5652	743.1193	757.6687	1016.632	629.744	676.4005	625.6724	593.8673	352.9721	1336.6821	1387.152	1699.348	825.3373	1266.1871	798.1294	712.4211	696.8273	777.1064	1172.8899	678.099	532.4138	723.0558	904.5685	870.9802	1171.0216	936.8501	514.3992	661.7375	696.6511	1293.2861	992.7547	839.2256	1045.2962	1344.9227	927.8917	1068.3919	618.5683	947.9267	552.4602	883.3375	1617.3023	1605.0067	983.7431	920.3494	726.0216	674.4286	537.1378	556.3967	807.472	571.7345	850.012	936.8179	381.325	868.014	1306.9869	970.42	1670.4163	728.7639	651.8987	625.5841	552.5926	1045.2946	562.6757	358.5781	1036.1446	728.8119	1208.7891	609.4025	1122.2453	768.4211	248.9115	558.4936	502.1834	1305.5762	645.9088	600.2792	660.7231	672.8316
ACPP	29.6221	25.5193	4.6554	80.4291	67.4766	0.532	75.6351	51.0734	0	580.7677	64.6889	70.9677	145.8583	65.0506	141.6431	107.0866	25.766	28.934	29.2859	81.6901	580.7632	260.6565	38.2542	43.7794	42.3929	95.7928	33.2835	123.0082	44.0105	114.3462	56.7503	125.4364	103.0624	181.5951	286.8891	80.0645	104.0366	189.6552	42.1348	122.775	53.7978	246.7066	67.32	32.4441	91.4761	67.5649	156.4443	22.7723	58.7854	36.0976	50.1018	94.2313	83.3519	52.546	42.8227	23.6832	150.4425	43.6242	37.1936	122.5823	168.5661	121.0787	198.4584	181.7853	263.1085	516.493	77.5359	87.1166	87.9187	91.7548	73.955	123.7525	35.1668	114.4385	84.9413	52.5164	198.5934	113.3525	107.6445	162.1622	45.1234	17.038	60.5828	54.8857	181.5871	188.9154	47.5194	16.2703	38.4008	133.3152	100.6424	22.6027	32.6087	91.2533	142.6345	69.8947	82.2562	20.9782	90.0533	36.7467	17.931	80.9659	12.6904	24.0217	94.0313	62.389	67.0308	128.1577	53.0412	48.1116	65.9781	161.6162	177.2648	223.5099	48.4117	40.1373	650.428	62.6808	32.1069	66.4502	38.0755	129.1294	255.6248	61.665	81.2285	87.5377	23.8911	24.9811	137.0444	17.666	196.3043	90.1781	86.5936	30.743	75.9825	117.5683	36.6462	326.038	121.308	231.3084	57.7778	50.1319	34.2889	33.4476	18.5357	79.8146	96.7961	47.0123	151.7672	39.1813	13.7881	51.2821	51.31	268.4015	53.5844	92.6012	142.6449	124.3622
ACPP.1	29.6221	25.5193	4.6554	80.4291	67.4766	0.532	75.6351	51.0734	0	580.7677	64.6889	70.9677	145.8583	65.0506	141.6431	107.0866	25.766	28.934	29.2859	81.6901	580.7632	260.6565	38.2542	43.7794	42.3929	95.7928	33.2835	123.0082	44.0105	114.3462	56.7503	125.4364	103.0624	181.5951	286.8891	80.0645	104.0366	189.6552	42.1348	122.775	53.7978	246.7066	67.32	32.4441	91.4761	67.5649	156.4443	22.7723	58.7854	36.0976	50.1018	94.2313	83.3519	52.546	42.8227	23.6832	150.4425	43.6242	37.1936	122.5823	168.5661	121.0787	198.4584	181.7853	263.1085	516.493	77.5359	87.1166	87.9187	91.7548	73.955	123.7525	35.1668	114.4385	84.9413	52.5164	198.5934	113.3525	107.6445	162.1622	45.1234	17.038	60.5828	54.8857	181.5871	188.9154	47.5194	16.2703	38.4008	133.3152	100.6424	22.6027	32.6087	91.2533	142.6345	69.8947	82.2562	20.9782	90.0533	36.7467	17.931	80.9659	12.6904	24.0217	94.0313	62.389	67.0308	128.1577	53.0412	48.1116	65.9781	161.6162	177.2648	223.5099	48.4117	40.1373	650.428	62.6808	32.1069	66.4502	38.0755	129.1294	255.6248	61.665	81.2285	87.5377	23.8911	24.9811	137.0444	17.666	196.3043	90.1781	86.5936	30.743	75.9825	117.5683	36.6462	326.038	121.308	231.3084	57.7778	50.1319	34.2889	33.4476	18.5357	79.8146	96.7961	47.0123	151.7672	39.1813	13.7881	51.2821	51.31	268.4015	53.5844	92.6012	142.6449	124.3622
ACSM3	419.3463	21.0504	165.7571	370.3866	21.7371	36.2069	280.4677	115.0891	472.8941	64.3897	551.4627	681.276	38.9256	1150.046	512.0737	766.0157	588.9134	311.8579	427.064	650.7418	23.6174	92.4596	111.3545	453.3278	464.5564	202.571	207.5767	236.9935	140.2118	359.1212	167.2162	722.4015	383.8221	296.5061	911.1941	416.9049	356.5002	341.18	154.1828	463.1082	667.9264	491.3892	471.2527	395.8183	319.6466	391.0074	737.5816	75.1139	290.6678	471.4634	494.0473	592.1402	353.2733	309.3066	397.0014	373.2415	474.8877	309.1611	142.8233	1261.9812	267.7365	356.4502	250.4226	132.9635	270.0658	101.4025	719.3407	225.4192	541.9139	547.8425	501.2111	214.6534	79.9053	250.6916	414.3338	371.3293	397.0362	163.1508	272.5935	171.9595	226.3408	107.5011	222.661	106.0832	188.8288	127.36	110.9446	169.9312	9.7002	176.4703	44.1028	239.5474	102.6612	174.025	232.9618	358.5768	43.9013	121.3499	196.1217	101.8324	84.2	59.0794	73.7259	149.0701	91.5879	222.7187	244.717	165.5268	287.8844	244.1493	205.8455	258.8931	188.9111	168.3278	195.2254	81.2675	85.6046	273.9007	405.9918	416.3228	299.8718	306.8288	136.7015	108.8541	110.0545	177.0289	113.7134	63.3157	167.5368	185.637	95.3732	32.602	22.6395	68.8339	160.6638	197.5773	352.5873	116.6849	455.807	33.6565	58.7506	593.4653	342.2091	160.4797	86.5199	189.995	202.6212	105.725	96.3701	29.386	21.8977	64.0785	37.3362	230.9814	176.6039	182.7827	209.8217	189.0179
ACTR3C	35.7508	31.454	200.6983	23.5925	43.7221	63.8383	15.5889	40.4097	66.3335	33.5058	65.513	100.3584	106.2425	225.8361	71.3881	129.1339	99.8431	81.2183	82.6013	33.8028	64.8197	60.2646	59.8157	34.9127	68.3192	48.9265	21.6904	25.9315	16.5039	32.8216	71.0872	80.5486	21.4959	21.4724	70.8524	27.4046	39.9501	53.8793	32.4895	58.8772	20.2844	58.0838	51.9813	115.3569	25.3638	20.5108	86.4817	45.5446	31.1217	56.5854	48.223	36.7951	97.2439	98.5915	109.8276	20.7228	71.4772	31.3199	32.967	64.5583	68.1156	31.9207	56.348	56.0173	17.9272	68.9493	89.8867	148.8753	67.5837	86.6573	45.0161	40.7186	16.2308	63.4581	64.9311	37.7462	43.5365	88.0564	57.4676	64.8649	12.2209	15.7274	49.0798	22.869	22.5168	18.4744	32.9996	23.1539	100.9995	50.7738	56.9593	33.1507	32.2339	88.9814	42.8683	73.2632	32.9025	20.9782	25.102	32.827	19.3103	50.7318	30.4569	21.697	38.801	20.7963	66.0377	32.0394	26.5206	50.9754	22.1982	73.6532	70.993	42.4945	59.0018	54.9247	26.9582	67.5024	71.9638	162.3782	48.6952	54.266	21.0272	43.6793	37.929	75.0323	97.624	19.6821	28.0318	63.7045	49.436	40.7812	42.2535	45.9247	83.8428	119.4956	62.6232	66.5852	56.962	47.3131	61.7284	79.5954	48.3418	48.2039	45.4124	54.419	36.0081	58.4359	31.185	141.5205	29.7533	80.1282	60.0437	124.9071	28.9645	66.0772	50.0248	66.3265
ACY3	122.5741	38.5757	9.828	108.3111	39.5908	5.3199	124.7113	104.953	42.7079	127.6412	180.0577	278.1362	40.2161	627.1863	417.5637	426.7717	162.1109	153.2995	412.2558	311.7371	391.0089	612.4449	472.9612	213.3555	364.3689	178.7103	28.7958	265.2987	400.4951	253.5733	298.6858	241.1471	221.7314	295.7055	96.4732	249.8657	224.7191	158.944	425.9164	403.4687	322.7869	363.4731	233.4896	330.9301	265.2807	144.7818	196.2842	131.6832	267.1277	296.5854	231.7207	314.1042	428.7744	280.065	534.0239	175.2558	192.6481	99.5526	342.35	50.9671	180.2279	88.6076	330.2915	22.7683	85.1543	19.4312	173.598	65.0307	188.9952	131.5152	128.6174	83.5662	73.4896	94.1176	141.705	204.5952	103.148	94.7807	129.9453	103.3784	93.067	103.5387	159.8926	43.2432	156.8912	122.7652	189.1977	124.5307	1.5781	95.0312	81.3704	233.1848	9.7451	134.7974	186.2822	176.4211	58.1669	142.2871	55.5381	54.3851	62.7586	33.3087	108.6294	121.6583	139.1244	149.125	572.4926	389.4023	386.1659	147.1986	134.4227	416.2458	150.2613	59.0508	172.4668	170.5836	57.3475	186.1138	230.284	112.4157	189.8595	167.1552	223.0532	152.1069	235.9654	61.6645	67.9661	54.5042	51.3917	228.5867	154.0677	221.1373	18.7793	63.7632	119.6507	141.6601	211.9912	106.9956	230.4852	75.9346	198.0247	206.2445	296.2338	324.1467	193.2345	133.4274	244.3132	123.0228	89.3971	30.9942	49.3469	136.2179	44.7598	200.7435	76.756	46.5333	145.1213	145.4082
